product_id,product_name,category,sub_category,brand,unit_price_inr,cost_price_inr,stock_status
20001,Tab Series 001,Electronics,Tablet,HomeEase,2864.0,1865.0,Low Stock
20002,Pulse Series 002,Electronics,Smartwatch,UrbanCart,1249.0,815.0,In Stock
20003,Summit Series 003,Sports,Outdoor,Apex,620.0,354.0,In Stock
20004,Boundary Series 004,Sports,Cricket,FitMax,657.0,497.0,In Stock
20005,Clear Series 005,Beauty,Skincare,HomeEase,1453.0,819.0,In Stock
20006,One Essential 006,Electronics,Mobile,Apex,474.0,261.0,In Stock
20007,Table Essential 007,Home & Kitchen,Decor,HomeEase,4317.0,2414.0,In Stock
20008,Chronicles Essential 008,Books,Fiction,HomeEase,2649.0,1619.0,In Stock
20009,Pad Essential 009,Electronics,Tablet,StyleHub,4392.0,3167.0,Low Stock
20010,Essential Essential 010,Home & Kitchen,Furniture,StyleHub,4101.0,3094.0,In Stock
20011,Slim Plus 011,Fashion,Jeans,StyleHub,1066.0,721.0,Low Stock
20012,Balance Plus 012,Sports,Yoga,StyleHub,761.0,512.0,In Stock
20013,Road Plus 013,Sports,Cycling,FitMax,235.0,170.0,In Stock
20014,Shine Plus 014,Beauty,Haircare,HomeEase,1029.0,750.0,Low Stock
20015,Essential Plus 015,Fashion,Accessories,TechPro,4220.0,3391.0,In Stock
20016,Slim Pro 016,Fashion,Jeans,FitMax,782.0,622.0,In Stock
20017,Slate Pro 017,Electronics,Tablet,StyleHub,1169.0,932.0,In Stock
20018,Steel Pro 018,Home & Kitchen,Cookware,,934.0,750.0,In Stock
20019,Urban Pro 019,Home & Kitchen,Furniture,Apex,1709.0,1391.0,In Stock
20020,Time Pro 020,Electronics,Smartwatch,PrimeLine,3090.0,2214.0,Low Stock
20021,Zen Prime 021,Sports,Yoga,UrbanCart,493.0,359.0,Low Stock
20022,Classic Prime 022,Fashion,Accessories,TechPro,558.0,429.0,In Stock
20023,Care Prime 023,Beauty,Haircare,UrbanCart,3520.0,2146.0,Out of Stock
20024,Space Prime 024,Home & Kitchen,Storage,FitMax,2157.0,1420.0,In Stock
20025,Color Prime 025,Beauty,Makeup,StyleHub,1132.0,933.0,In Stock
20026,Tab Classic 026,Electronics,Tablet,UrbanCart,4063.0,2872.0,In Stock
20027,Core Classic 027,Sports,Fitness,FitMax,552.0,312.0,Low Stock
20028,Active Classic 028,Sports,Fitness,Nova,2454.0,1648.0,In Stock
20029,Power Classic 029,Home & Kitchen,Appliances,FitMax,1281.0,766.0,Low Stock
20030,Classic Classic 030,Home & Kitchen,Cookware,HomeEase,1987.0,1305.0,In Stock
20031,Power Advance 031,Sports,Fitness,HomeEase,284.0,203.0,In Stock
20032,Home Advance 032,Home & Kitchen,Appliances,PrimeLine,1131.0,793.0,In Stock
